name,deck_no,attack,defense,sp_attack,sp_defense,capture_rt,speed,bs_happiness,total_bs,type,gen,legendary
Lumineon,457,69,76,69,86,75,91,70,460,water,4,0
Mantyke,458,20,50,60,120,25,50,70,345,water,4,0
Snover,459,62,50,62,60,120,40,70,334,grass,4,0
Abomasnow,460,132,105,132,105,60,30,70,594,grass,4,0
Weavile,461,120,65,45,85,45,125,35,510,dark,4,0
Magnezone,462,70,115,130,90,30,60,70,535,electric,4,0
Lickilicky,463,85,95,80,95,30,50,70,515,normal,4,0
Rhyperior,464,140,130,55,55,30,40,70,535,ground,4,0
Tangrowth,465,100,125,110,50,30,50,70,535,grass,4,0
Electivire,466,123,67,95,85,30,95,70,540,electric,4,0
Magmortar,467,95,67,125,95,30,83,70,540,fire,4,0
Togekiss,468,50,95,120,115,30,80,70,545,fairy,4,0
Yanmega,469,76,86,116,56,30,95,70,515,bug,4,0
Leafeon,470,110,130,60,65,45,95,35,525,grass,4,0
Glaceon,471,60,110,130,95,45,65,35,525,ice,4,0
Gliscor,472,95,125,45,75,30,95,70,510,ground,4,0
Mamoswine,473,130,80,70,60,50,80,70,530,ice,4,0
Porygon,474,80,70,135,90,75,30,70,535,normal,4,0
Gallade,475,165,95,65,115,45,110,35,618,psychic,4,0
Probopass,476,55,145,75,150,60,40,70,525,rock,4,0
Dusknoir,477,100,135,65,135,45,45,35,525,ghost,4,0
Froslass,478,80,70,80,70,75,110,70,480,ice,4,0
Rotom,479,65,107,105,107,45,86,70,520,electric,4,0
Uxie,480,75,130,75,130,3,95,140,580,psychic,4,1
Mesprit,481,105,105,105,105,3,80,140,580,psychic,4,1
Azelf,482,125,70,125,70,3,115,140,580,psychic,4,1
Dialga,483,120,120,150,100,3,90,0,680,steel,4,1
Palkia,484,120,100,150,120,3,100,0,680,water,4,1
Heatran,485,90,106,130,106,3,77,100,600,fire,4,1
Regigigas,486,160,110,80,110,3,100,0,670,normal,4,1
Giratina,487,120,100,120,100,3,90,0,680,ghost,4,1
Cresselia,488,70,120,75,130,3,85,100,600,psychic,4,1
Phione,489,80,80,80,80,30,80,70,480,water,4,0
Manaphy,490,100,100,100,100,3,100,70,600,water,4,1
Darkrai,491,90,90,135,90,3,125,0,600,dark,4,1
Shaymin,492,103,75,120,75,45,127,100,600,grass,4,1
Arceus,493,120,120,120,120,3,120,0,720,normal,4,1
Victini,494,100,100,100,100,3,100,100,600,psychic,5,1
Snivy,495,45,55,45,55,45,63,70,308,grass,5,0
Servine,496,60,75,60,75,45,83,70,413,grass,5,0
Serperior,497,75,95,75,95,45,113,70,528,grass,5,0
Tepig,498,63,45,45,45,45,45,70,308,fire,5,0
Pignite,499,93,55,70,55,45,55,70,418,fire,5,0
Emboar,500,123,65,100,65,45,65,70,528,fire,5,0
Oshawott,501,55,45,63,45,45,45,70,308,water,5,0
Dewott,502,75,60,83,60,45,60,70,413,water,5,0
Samurott,503,100,85,108,70,45,70,70,528,water,5,0
Patrat,504,55,39,35,39,255,42,70,255,normal,5,0
Watchog,505,85,69,60,69,255,77,70,420,normal,5,0
Lillipup,506,60,45,25,45,255,55,70,275,normal,5,0
Herdier,507,80,65,35,65,120,60,70,370,normal,5,0
Stoutland,508,110,90,45,90,45,80,70,500,normal,5,0
Purrloin,509,50,37,50,37,255,66,70,281,dark,5,0
Liepard,510,88,50,88,50,90,106,70,446,dark,5,0
Pansage,511,53,48,53,48,190,64,70,316,grass,5,0
Simisage,512,98,63,98,63,75,101,70,498,grass,5,0
Pansear,513,53,48,53,48,190,64,70,316,fire,5,0
Simisear,514,98,63,98,63,75,101,70,498,fire,5,0
Panpour,515,53,48,53,48,190,64,70,316,water,5,0
Simipour,516,98,63,98,63,75,101,70,498,water,5,0
Munna,517,25,45,67,55,190,24,70,292,psychic,5,0
Musharna,518,55,85,107,95,75,29,70,487,psychic,5,0
Pidove,519,55,50,36,30,255,43,70,264,normal,5,0
Tranquill,520,77,62,50,42,120,65,70,358,normal,5,0
Unfezant,521,115,80,65,55,45,93,70,488,normal,5,0
Blitzle,522,60,32,50,32,190,76,70,295,electric,5,0
Zebstrika,523,100,63,80,63,75,116,70,497,electric,5,0
Roggenrola,524,75,85,25,25,255,15,70,280,rock,5,0
Boldore,525,105,105,50,40,120,20,70,390,rock,5,0
Gigalith,526,135,130,60,80,45,25,70,515,rock,5,0
Woobat,527,45,43,55,43,190,72,70,323,psychic,5,0
Swoobat,528,57,55,77,55,45,114,70,425,psychic,5,0
Drilbur,529,85,40,30,45,120,68,70,328,ground,5,0
Excadrill,530,135,60,50,65,60,88,70,508,ground,5,0
Audino,531,60,126,80,126,255,50,70,545,normal,5,0
Timburr,532,80,55,25,35,180,35,70,305,fighting,5,0
Gurdurr,533,105,85,40,50,90,40,70,405,fighting,5,0
Conkeldurr,534,140,95,55,65,45,45,70,505,fighting,5,0
Tympole,535,50,40,50,40,255,64,70,294,water,5,0
Palpitoad,536,65,55,65,55,120,69,70,384,water,5,0
Seismitoad,537,95,75,85,75,45,74,70,509,water,5,0
Throh,538,100,85,30,85,45,45,70,465,fighting,5,0
Sawk,539,125,75,30,75,45,85,70,465,fighting,5,0
Sewaddle,540,53,70,40,60,255,42,70,310,bug,5,0
Swadloon,541,63,90,50,80,120,42,70,380,bug,5,0
Leavanny,542,103,80,70,80,45,92,70,500,bug,5,0
Venipede,543,45,59,30,39,255,57,70,260,bug,5,0
Whirlipede,544,55,99,40,79,120,47,70,360,bug,5,0
Scolipede,545,100,89,55,69,45,112,70,485,bug,5,0
Cottonee,546,27,60,37,50,190,66,70,280,grass,5,0
Whimsicott,547,67,85,77,75,75,116,70,480,grass,5,0
Petilil,548,35,50,70,50,190,30,70,280,grass,5,0
Lilligant,549,60,75,110,75,75,90,70,480,grass,5,0
Basculin,550,92,65,80,55,25,98,70,460,water,5,0
Sandile,551,72,35,35,35,180,65,70,292,ground,5,0
Krokorok,552,82,45,45,45,90,74,70,351,ground,5,0
Krookodile,553,117,80,65,70,45,92,70,519,ground,5,0
Darumaka,554,90,45,15,45,120,50,70,315,fire,5,0
Darmanitan,555,30,105,140,105,60,55,70,540,fire,5,0
Maractus,556,86,67,106,67,255,60,70,461,grass,5,0
Dwebble,557,65,85,35,35,190,55,70,325,bug,5,0
Crustle,558,105,125,65,75,75,45,70,485,bug,5,0
Scraggy,559,75,70,35,70,180,48,35,348,dark,5,0
Scrafty,560,90,115,45,115,90,58,70,488,dark,5,0
Sigilyph,561,58,80,103,80,45,97,70,490,psychic,5,0
Yamask,562,30,85,55,65,190,30,70,303,ghost,5,0
Cofagrigus,563,50,145,95,105,90,30,70,483,ghost,5,0
Tirtouga,564,78,103,53,45,45,22,70,355,water,5,0
Carracosta,565,108,133,83,65,45,32,70,495,water,5,0
Archen,566,112,45,74,45,45,70,70,401,rock,5,0
Archeops,567,140,65,112,65,45,110,70,567,rock,5,0
Trubbish,568,50,62,40,62,190,65,70,329,poison,5,0
Garbodor,569,95,82,60,82,60,75,70,474,poison,5,0
Zorua,570,65,40,80,40,75,65,70,330,dark,5,0
Zoroark,571,105,60,120,60,45,105,70,510,dark,5,0
Minccino,572,50,40,40,40,255,75,70,300,normal,5,0
Cinccino,573,95,60,65,60,60,115,70,470,normal,5,0
Gothita,574,30,50,55,65,200,45,70,290,psychic,5,0
Gothorita,575,45,70,75,85,100,55,70,390,psychic,5,0
Gothitelle,576,55,95,95,110,50,65,70,490,psychic,5,0
Solosis,577,30,40,105,50,200,20,70,290,psychic,5,0
Duosion,578,40,50,125,60,100,30,70,370,psychic,5,0
Reuniclus,579,65,75,125,85,50,30,70,490,psychic,5,0
Ducklett,580,44,50,44,50,190,55,70,305,water,5,0
Swanna,581,87,63,87,63,45,98,70,473,water,5,0
Vanillite,582,50,50,65,60,255,44,70,305,ice,5,0
Vanillish,583,65,65,80,75,120,59,70,395,ice,5,0
Vanilluxe,584,95,85,110,95,45,79,70,535,ice,5,0
Deerling,585,60,50,40,50,190,75,70,335,normal,5,0
Sawsbuck,586,100,70,60,70,75,95,70,475,normal,5,0
Emolga,587,75,60,75,60,200,103,70,428,electric,5,0
Karrablast,588,75,45,40,45,200,60,70,315,bug,5,0
Escavalier,589,135,105,60,105,75,20,70,495,bug,5,0
Foongus,590,55,45,55,55,190,15,70,294,grass,5,0
Amoonguss,591,85,70,85,80,75,30,70,464,grass,5,0
Frillish,592,40,50,65,85,190,40,70,335,water,5,0
Jellicent,593,60,70,85,105,60,60,70,480,water,5,0
Alomomola,594,75,80,40,45,75,65,70,470,water,5,0
Joltik,595,47,50,57,50,190,65,70,319,bug,5,0
Galvantula,596,77,60,97,60,75,108,70,472,bug,5,0
Ferroseed,597,50,91,24,86,255,10,70,305,grass,5,0
Ferrothorn,598,94,131,54,116,90,20,70,489,grass,5,0
Klink,599,55,70,45,60,130,30,70,300,steel,5,0
Klang,600,80,95,70,85,60,50,70,440,steel,5,0
Klinklang,601,100,115,70,85,30,90,70,520,steel,5,0
Tynamo,602,55,40,45,40,190,60,70,275,electric,5,0
Eelektrik,603,85,70,75,70,60,40,70,405,electric,5,0
Eelektross,604,115,80,105,80,30,50,70,515,electric,5,0
Elgyem,605,55,55,85,55,255,30,70,335,psychic,5,0
Beheeyem,606,75,75,125,95,90,40,70,485,psychic,5,0
Litwick,607,30,55,65,55,190,20,70,275,ghost,5,0
Lampent,608,40,60,95,60,90,55,70,370,ghost,5,0
Chandelure,609,55,90,145,90,45,80,70,520,ghost,5,0
Axew,610,87,60,30,40,75,57,35,320,dragon,5,0
Fraxure,611,117,70,40,50,60,67,35,410,dragon,5,0
Haxorus,612,147,90,60,70,45,97,35,540,dragon,5,0
Cubchoo,613,70,40,60,40,120,40,70,305,ice,5,0
Beartic,614,130,80,70,80,60,50,70,505,ice,5,0
Cryogonal,615,50,50,95,135,25,105,70,515,ice,5,0
Shelmet,616,40,85,40,65,200,25,70,305,bug,5,0
Accelgor,617,70,40,100,60,75,145,70,495,bug,5,0
Stunfisk,618,66,84,81,99,75,32,70,471,ground,5,0
Mienfoo,619,85,50,55,50,180,65,70,350,fighting,5,0
Mienshao,620,125,60,95,60,45,105,70,510,fighting,5,0
Druddigon,621,120,90,60,90,45,48,70,485,dragon,5,0
Golett,622,74,50,35,50,190,35,70,303,ground,5,0
Golurk,623,124,80,55,80,90,55,70,483,ground,5,0
Pawniard,624,85,70,40,40,120,60,35,340,dark,5,0
Bisharp,625,125,100,60,70,45,70,35,490,dark,5,0
Bouffalant,626,110,95,40,95,45,55,70,490,normal,5,0
Rufflet,627,83,50,37,50,190,60,70,350,normal,5,0
Braviary,628,123,75,57,75,60,80,70,510,normal,5,0
Vullaby,629,55,75,45,65,190,60,35,370,dark,5,0
Mandibuzz,630,65,105,55,95,60,80,35,510,dark,5,0
Heatmor,631,97,66,105,66,90,65,70,484,fire,5,0
Durant,632,109,112,48,48,90,109,70,484,bug,5,0
Deino,633,65,50,45,50,45,38,35,300,dark,5,0
Zweilous,634,85,70,65,70,45,58,35,420,dark,5,0
Hydreigon,635,105,90,125,90,45,98,35,600,dark,5,0
Larvesta,636,85,55,50,55,45,60,70,360,bug,5,0
Volcarona,637,60,65,135,105,15,100,70,550,bug,5,0
Cobalion,638,90,129,90,72,3,108,35,580,steel,5,1
Terrakion,639,129,90,72,90,3,108,35,580,rock,5,1
Virizion,640,90,72,90,129,3,108,35,580,grass,5,1
Tornadus,641,100,80,110,90,3,121,90,580,flying,5,1
Thundurus,642,105,70,145,80,3,101,90,580,electric,5,1
Reshiram,643,120,100,150,120,3,90,0,680,dragon,5,1
Zekrom,644,150,120,120,100,3,90,0,680,dragon,5,1
Landorus,645,145,90,105,80,3,91,90,600,ground,5,1
Kyurem,646,120,90,170,100,3,95,0,700,dragon,5,1
Keldeo,647,72,90,129,90,3,108,35,580,water,5,1
Meloetta,648,128,90,77,77,3,128,100,600,normal,5,1
Genesect,649,120,95,120,95,3,99,0,600,bug,5,1
Chespin,650,61,65,48,45,45,38,70,313,grass,6,0
Quilladin,651,78,95,56,58,45,57,70,405,grass,6,0
Chesnaught,652,107,122,74,75,45,64,70,530,grass,6,0
Fennekin,653,45,40,62,60,45,60,70,307,fire,6,0
Braixen,654,59,58,90,70,45,73,70,409,fire,6,0
Delphox,655,69,72,114,100,45,104,70,534,fire,6,0
Froakie,656,56,40,62,44,45,71,70,314,water,6,0
Frogadier,657,63,52,83,56,45,97,70,405,water,6,0
Greninja,658,145,67,153,71,45,132,70,640,water,6,0
Bunnelby,659,36,38,32,36,255,57,70,237,normal,6,0
Diggersby,660,56,77,50,77,127,78,70,423,normal,6,0
Fletchling,661,50,43,40,38,255,62,70,278,normal,6,0
Fletchinder,662,73,55,56,52,120,84,70,382,fire,6,0
Talonflame,663,81,71,74,69,45,126,70,499,fire,6,0
Scatterbug,664,35,40,27,25,255,35,70,200,bug,6,0
Spewpa,665,22,60,27,30,120,29,70,213,bug,6,0
Vivillon,666,52,50,90,50,45,89,70,411,bug,6,0
Litleo,667,50,58,73,54,220,72,70,369,fire,6,0
Pyroar,668,68,72,109,66,65,106,70,507,fire,6,0
Flabébé,669,38,39,61,79,225,42,70,303,fairy,6,0
Floette,670,65,67,125,128,120,92,70,551,fairy,6,0
Florges,671,65,68,112,154,45,75,70,552,fairy,6,0
Skiddo,672,65,48,62,57,200,52,70,350,grass,6,0
Gogoat,673,100,62,97,81,45,68,70,531,grass,6,0
Pancham,674,82,62,46,48,220,43,70,348,fighting,6,0
Pangoro,675,124,78,69,71,65,58,70,495,fighting,6,0
Furfrou,676,80,60,65,90,160,102,70,472,normal,6,0
Espurr,677,48,54,63,60,190,68,70,355,psychic,6,0
Meowstic,678,48,76,83,81,75,104,70,466,psychic,6,0
Honedge,679,80,100,35,37,180,28,70,325,steel,6,0
Doublade,680,110,150,45,49,90,35,70,448,steel,6,0
Aegislash,681,150,50,150,50,45,60,70,520,steel,6,0
Spritzee,682,52,60,63,65,200,23,70,341,fairy,6,0
Aromatisse,683,72,72,99,89,140,29,70,462,fairy,6,0
Swirlix,684,48,66,59,57,200,49,70,341,fairy,6,0
Slurpuff,685,80,86,85,75,140,72,70,480,fairy,6,0
Inkay,686,54,53,37,46,190,45,70,288,dark,6,0
Malamar,687,92,88,68,75,80,73,70,482,dark,6,0
Binacle,688,52,67,39,56,120,50,70,306,rock,6,0
Barbaracle,689,105,115,54,86,45,68,70,500,rock,6,0
Skrelp,690,60,60,60,60,225,30,70,320,poison,6,0
Dragalge,691,75,90,97,123,55,44,70,494,poison,6,0
Clauncher,692,53,62,58,63,225,44,70,330,water,6,0
Clawitzer,693,73,88,120,89,55,59,70,500,water,6,0
Helioptile,694,38,33,61,43,190,70,70,289,electric,6,0
Heliolisk,695,55,52,109,94,75,109,70,481,electric,6,0
Tyrunt,696,89,77,45,45,45,48,70,362,rock,6,0
Tyrantrum,697,121,119,69,59,45,71,70,521,rock,6,0
Amaura,698,59,50,67,63,45,46,70,362,rock,6,0
Aurorus,699,77,72,99,92,45,58,70,521,rock,6,0
Sylveon,700,65,65,110,130,45,60,70,525,fairy,6,0
Hawlucha,701,92,75,74,63,100,118,70,500,fighting,6,0
Dedenne,702,58,57,81,67,180,101,70,431,electric,6,0
Carbink,703,50,150,50,150,60,50,70,500,rock,6,0
Goomy,704,50,35,55,75,45,40,35,300,dragon,6,0
Sliggoo,705,75,53,83,113,45,60,35,452,dragon,6,0
Goodra,706,100,70,110,150,45,80,35,600,dragon,6,0
Klefki,707,80,91,80,87,75,75,70,470,steel,6,0
Phantump,708,70,48,50,60,120,38,70,309,ghost,6,0
Trevenant,709,110,76,65,82,60,56,70,474,ghost,6,0
Pumpkaboo,710,66,70,44,55,120,41,70,335,ghost,6,0
Gourgeist,711,100,122,58,75,60,54,70,494,ghost,6,0
Bergmite,712,69,85,32,35,190,28,70,304,ice,6,0
Avalugg,713,117,184,44,46,55,28,70,514,ice,6,0
Noibat,714,30,35,45,40,190,55,70,245,flying,6,0
Noivern,715,70,80,97,80,45,123,70,535,flying,6,0
Xerneas,716,131,95,131,98,45,99,0,680,fairy,6,1
Yveltal,717,131,95,131,98,45,99,0,680,dark,6,1
Zygarde,718,100,121,91,95,3,85,0,708,dragon,6,1
Diancie,719,160,110,160,110,3,110,70,700,rock,6,1
Hoopa,720,160,60,170,130,3,80,100,680,psychic,6,1
Volcanion,721,110,120,130,90,3,70,100,600,fire,6,1
Rowlet,722,55,55,50,50,45,42,70,320,grass,7,0
Dartrix,723,75,75,70,70,45,52,70,420,grass,7,0
Decidueye,724,107,75,100,100,45,70,70,530,grass,7,0
Litten,725,65,40,60,40,45,70,70,320,fire,7,0
Torracat,726,85,50,80,50,45,90,70,420,fire,7,0
Incineroar,727,115,90,80,90,45,60,70,530,fire,7,0
Popplio,728,54,54,66,56,45,40,70,320,water,7,0
Brionne,729,69,69,91,81,45,50,70,420,water,7,0
Primarina,730,74,74,126,116,45,60,70,530,water,7,0
Pikipek,731,75,30,30,30,255,65,70,265,normal,7,0
Trumbeak,732,85,50,40,50,120,75,70,355,normal,7,0
Toucannon,733,120,75,75,75,45,60,70,485,normal,7,0
Yungoos,734,70,30,30,30,255,45,70,253,normal,7,0
Gumshoos,735,110,60,55,60,127,45,70,418,normal,7,0
Grubbin,736,62,45,55,45,255,46,70,300,bug,7,0
Charjabug,737,82,95,55,75,120,36,70,400,bug,7,0
Vikavolt,738,70,90,145,75,45,43,70,500,bug,7,0
Crabrawler,739,82,57,42,47,225,63,70,338,fighting,7,0
Crabominable,740,132,77,62,67,60,43,70,478,fighting,7,0
Oricorio,741,70,70,98,70,45,93,70,476,fire,7,0
Cutiefly,742,45,40,55,40,190,84,70,304,bug,7,0
Ribombee,743,55,60,95,70,75,124,70,464,bug,7,0
Rockruff,744,65,40,30,40,190,60,70,280,rock,7,0
Lycanroc,745,115,75,55,75,90,82,70,487,rock,7,0
Wishiwashi,746,140,130,140,135,60,30,70,620,water,7,0
Mareanie,747,53,62,43,52,190,45,70,305,poison,7,0
Toxapex,748,63,152,53,142,75,35,70,495,poison,7,0
Mudbray,749,100,70,45,55,190,45,70,385,ground,7,0
Mudsdale,750,125,100,55,85,60,35,70,500,ground,7,0
Dewpider,751,40,52,40,72,200,27,70,269,water,7,0
Araquanid,752,70,92,50,132,100,42,70,454,water,7,0
Fomantis,753,55,35,50,35,190,35,70,250,grass,7,0
Lurantis,754,105,90,80,90,75,45,70,480,grass,7,0
Morelull,755,35,55,65,75,190,15,70,285,grass,7,0
Shiinotic,756,45,80,90,100,75,30,70,405,grass,7,0
Salandit,757,44,40,71,40,120,77,70,320,poison,7,0
Salazzle,758,64,60,111,60,45,117,70,480,poison,7,0
Stufful,759,75,50,45,50,140,50,70,340,normal,7,0
Bewear,760,125,80,55,60,70,60,70,500,normal,7,0
Bounsweet,761,30,38,30,38,235,32,70,210,grass,7,0
Steenee,762,40,48,40,48,120,62,70,290,grass,7,0
Tsareena,763,120,98,50,98,45,72,70,510,grass,7,0
Comfey,764,52,90,82,110,60,100,70,485,fairy,7,0
Oranguru,765,60,80,90,110,45,60,70,490,normal,7,0
Passimian,766,120,90,40,60,45,80,70,490,fighting,7,0
Wimpod,767,35,40,20,30,90,80,70,230,bug,7,0
Golisopod,768,125,140,60,90,45,40,70,530,bug,7,0
Sandygast,769,55,80,70,45,140,15,70,320,ghost,7,0
Palossand,770,75,110,100,75,60,35,70,480,ghost,7,0
Pyukumuku,771,60,130,30,130,60,5,70,410,water,7,0
Type: Null,772,95,95,95,95,3,59,0,534,normal,7,0
Silvally,773,95,95,95,95,3,95,0,570,normal,7,0
Minior,774,100,60,100,60,255,120,70,500,rock,7,0
Komala,775,115,65,75,95,45,65,70,480,normal,7,0
Turtonator,776,78,135,91,85,70,36,70,485,fire,7,0
Togedemaru,777,98,63,40,73,180,96,70,435,electric,7,0
Mimikyu,778,90,80,50,105,45,96,70,476,ghost,7,0
Bruxish,779,105,70,70,70,80,92,70,475,water,7,0
Drampa,780,60,85,135,91,70,36,70,485,normal,7,0
Dhelmise,781,131,100,86,90,25,40,70,517,ghost,7,0
Jangmo,782,55,65,45,45,45,45,70,300,dragon,7,0
Hakamo,783,75,90,65,65,70,45,70,420,dragon,7,0
Kommo,784,110,125,100,85,105,45,70,600,dragon,7,0
Tapu Koko,785,115,85,95,75,3,130,70,570,electric,7,1
Tapu Lele,786,85,75,130,115,3,95,70,570,psychic,7,1
Tapu Bulu,787,130,115,85,95,3,75,70,570,grass,7,1
Tapu Fini,788,75,115,95,130,3,85,70,570,water,7,1
Cosmog,789,29,31,29,31,45,37,0,200,psychic,7,1
Cosmoem,790,29,131,29,131,45,37,0,400,psychic,7,1
Solgaleo,791,137,107,113,89,45,97,0,680,psychic,7,1
Lunala,792,113,89,137,107,45,97,0,680,psychic,7,1
Nihilego,793,53,47,127,131,45,103,0,570,rock,7,1
Buzzwole,794,139,139,53,53,25,79,0,570,bug,7,1
Pheromosa,795,137,37,137,37,255,151,0,570,bug,7,1
Xurkitree,796,89,71,173,71,30,83,0,570,electric,7,1
Celesteela,797,101,103,107,101,25,61,0,570,steel,7,1
Kartana,798,181,131,59,31,255,109,0,570,grass,7,1
Guzzlord,799,101,53,97,53,15,43,0,570,dark,7,1
Necrozma,800,107,101,127,89,3,79,0,600,psychic,7,1
Magearna,801,95,115,130,115,3,65,0,600,steel,7,1
