name,deck_no,attack,defense,sp_attack,sp_defense,speed,capture_rt,total_bs,type,gen,legendary
Inkay,686,54,53,37,46,45,190,288,dark,6,0
Malamar,687,92,88,68,75,73,80,482,dark,6,0
Binacle,688,52,67,39,56,50,120,306,rock,6,0
Barbaracle,689,105,115,54,86,68,45,500,rock,6,0
Skrelp,690,60,60,60,60,30,225,320,poison,6,0
Dragalge,691,75,90,97,123,44,55,494,poison,6,0
Clauncher,692,53,62,58,63,44,225,330,water,6,0
Clawitzer,693,73,88,120,89,59,55,500,water,6,0
Helioptile,694,38,33,61,43,70,190,289,electric,6,0
Heliolisk,695,55,52,109,94,109,75,481,electric,6,0
Tyrunt,696,89,77,45,45,48,45,362,rock,6,0
Tyrantrum,697,121,119,69,59,71,45,521,rock,6,0
Amaura,698,59,50,67,63,46,45,362,rock,6,0
Aurorus,699,77,72,99,92,58,45,521,rock,6,0
Sylveon,700,65,65,110,130,60,45,525,fairy,6,0
Hawlucha,701,92,75,74,63,118,100,500,fighting,6,0
Dedenne,702,58,57,81,67,101,180,431,electric,6,0
Carbink,703,50,150,50,150,50,60,500,rock,6,0
Goomy,704,50,35,55,75,40,45,300,dragon,6,0
Sliggoo,705,75,53,83,113,60,45,452,dragon,6,0
Goodra,706,100,70,110,150,80,45,600,dragon,6,0
Klefki,707,80,91,80,87,75,75,470,steel,6,0
Phantump,708,70,48,50,60,38,120,309,ghost,6,0
Trevenant,709,110,76,65,82,56,60,474,ghost,6,0
Pumpkaboo,710,66,70,44,55,41,120,335,ghost,6,0
Gourgeist,711,100,122,58,75,54,60,494,ghost,6,0
Bergmite,712,69,85,32,35,28,190,304,ice,6,0
Avalugg,713,117,184,44,46,28,55,514,ice,6,0
Noibat,714,30,35,45,40,55,190,245,flying,6,0
Noivern,715,70,80,97,80,123,45,535,flying,6,0
Xerneas,716,131,95,131,98,99,45,680,fairy,6,1
Yveltal,717,131,95,131,98,99,45,680,dark,6,1
Zygarde,718,100,121,91,95,85,3,708,dragon,6,1
Diancie,719,160,110,160,110,110,3,700,rock,6,1
Hoopa,720,160,60,170,130,80,3,680,psychic,6,1
Volcanion,721,110,120,130,90,70,3,600,fire,6,1
Rowlet,722,55,55,50,50,42,45,320,grass,7,0
Dartrix,723,75,75,70,70,52,45,420,grass,7,0
Decidueye,724,107,75,100,100,70,45,530,grass,7,0
Litten,725,65,40,60,40,70,45,320,fire,7,0
Torracat,726,85,50,80,50,90,45,420,fire,7,0
Incineroar,727,115,90,80,90,60,45,530,fire,7,0
Popplio,728,54,54,66,56,40,45,320,water,7,0
Brionne,729,69,69,91,81,50,45,420,water,7,0
Primarina,730,74,74,126,116,60,45,530,water,7,0
Pikipek,731,75,30,30,30,65,255,265,normal,7,0
Trumbeak,732,85,50,40,50,75,120,355,normal,7,0
Toucannon,733,120,75,75,75,60,45,485,normal,7,0
Yungoos,734,70,30,30,30,45,255,253,normal,7,0
Gumshoos,735,110,60,55,60,45,127,418,normal,7,0
Grubbin,736,62,45,55,45,46,255,300,bug,7,0
Charjabug,737,82,95,55,75,36,120,400,bug,7,0
Vikavolt,738,70,90,145,75,43,45,500,bug,7,0
Crabrawler,739,82,57,42,47,63,225,338,fighting,7,0
Crabominable,740,132,77,62,67,43,60,478,fighting,7,0
Oricorio,741,70,70,98,70,93,45,476,fire,7,0
Cutiefly,742,45,40,55,40,84,190,304,bug,7,0
Ribombee,743,55,60,95,70,124,75,464,bug,7,0
Rockruff,744,65,40,30,40,60,190,280,rock,7,0
Lycanroc,745,115,75,55,75,82,90,487,rock,7,0
Wishiwashi,746,140,130,140,135,30,60,620,water,7,0
Mareanie,747,53,62,43,52,45,190,305,poison,7,0
Toxapex,748,63,152,53,142,35,75,495,poison,7,0
Mudbray,749,100,70,45,55,45,190,385,ground,7,0
Mudsdale,750,125,100,55,85,35,60,500,ground,7,0
Dewpider,751,40,52,40,72,27,200,269,water,7,0
Araquanid,752,70,92,50,132,42,100,454,water,7,0
Fomantis,753,55,35,50,35,35,190,250,grass,7,0
Lurantis,754,105,90,80,90,45,75,480,grass,7,0
Morelull,755,35,55,65,75,15,190,285,grass,7,0
Shiinotic,756,45,80,90,100,30,75,405,grass,7,0
Salandit,757,44,40,71,40,77,120,320,poison,7,0
Salazzle,758,64,60,111,60,117,45,480,poison,7,0
Stufful,759,75,50,45,50,50,140,340,normal,7,0
Bewear,760,125,80,55,60,60,70,500,normal,7,0
Bounsweet,761,30,38,30,38,32,235,210,grass,7,0
Steenee,762,40,48,40,48,62,120,290,grass,7,0
Tsareena,763,120,98,50,98,72,45,510,grass,7,0
Comfey,764,52,90,82,110,100,60,485,fairy,7,0
Oranguru,765,60,80,90,110,60,45,490,normal,7,0
Passimian,766,120,90,40,60,80,45,490,fighting,7,0
Wimpod,767,35,40,20,30,80,90,230,bug,7,0
Golisopod,768,125,140,60,90,40,45,530,bug,7,0
Sandygast,769,55,80,70,45,15,140,320,ghost,7,0
Palossand,770,75,110,100,75,35,60,480,ghost,7,0
Pyukumuku,771,60,130,30,130,5,60,410,water,7,0
Type: Null,772,95,95,95,95,59,3,534,normal,7,0
Silvally,773,95,95,95,95,95,3,570,normal,7,0
Minior,774,100,60,100,60,120,255,500,rock,7,0
Komala,775,115,65,75,95,65,45,480,normal,7,0
Turtonator,776,78,135,91,85,36,70,485,fire,7,0
Togedemaru,777,98,63,40,73,96,180,435,electric,7,0
Mimikyu,778,90,80,50,105,96,45,476,ghost,7,0
Bruxish,779,105,70,70,70,92,80,475,water,7,0
Drampa,780,60,85,135,91,36,70,485,normal,7,0
Dhelmise,781,131,100,86,90,40,25,517,ghost,7,0
Jangmo,782,55,65,45,45,45,45,300,dragon,7,0
Hakamo,783,75,90,65,65,45,70,420,dragon,7,0
Kommo,784,110,125,100,85,45,105,600,dragon,7,0
Tapu Koko,785,115,85,95,75,130,3,570,electric,7,1
Tapu Lele,786,85,75,130,115,95,3,570,psychic,7,1
Tapu Bulu,787,130,115,85,95,75,3,570,grass,7,1
Tapu Fini,788,75,115,95,130,85,3,570,water,7,1
Cosmog,789,29,31,29,31,37,45,200,psychic,7,1
Cosmoem,790,29,131,29,131,37,45,400,psychic,7,1
Solgaleo,791,137,107,113,89,97,45,680,psychic,7,1
Lunala,792,113,89,137,107,97,45,680,psychic,7,1
Nihilego,793,53,47,127,131,103,45,570,rock,7,1
Buzzwole,794,139,139,53,53,79,25,570,bug,7,1
Pheromosa,795,137,37,137,37,151,255,570,bug,7,1
Xurkitree,796,89,71,173,71,83,30,570,electric,7,1
Celesteela,797,101,103,107,101,61,25,570,steel,7,1
Kartana,798,181,131,59,31,109,255,570,grass,7,1
Guzzlord,799,101,53,97,53,43,15,570,dark,7,1
Necrozma,800,107,101,127,89,79,3,600,psychic,7,1
Magearna,801,95,115,130,115,65,3,600,steel,7,1
