set_num,matte,transparent
40003-1,43.0,3.0
40004-1,26.0,0.0
40005-1,82.0,2.0
40008-1,65.0,2.0
40009-1,85.0,5.0
400-1,308.0,9.0
40010-1,75.0,3.0
40011-1,56.0,0.0
40012-1,19.0,0.0
40013-1,18.0,0.0
40014-1,26.0,0.0
40015-1,51.0,0.0
40016-1,41.0,0.0
40017-1,87.0,3.0
40018-1,102.0,2.0
40019-1,63.0,1.0
40020-1,74.0,0.0
4002014-1,466.0,0.0
4002015-1,541.0,38.0
4002016-1,1089.0,53.0
4002-1,52.0,6.0
40021-1,55.0,0.0
40022-1,76.0,0.0
40023-1,76.0,0.0
40024-1,79.0,1.0
40025-1,38.0,8.0
40026-1,38.0,2.0
40028-1,68.0,0.0
40029-1,52.0,0.0
400-3,12.0,0.0
40030-1,56.0,0.0
40031-1,55.0,0.0
40032-1,74.0,0.0
40033-1,54.0,0.0
40034-1,82.0,0.0
40035-1,49.0,0.0
40036-1,39.0,0.0
40037-1,42.0,1.0
40038-1,35.0,0.0
40039-1,12.0,4.0
400-4,12.0,0.0
40040-1,7.0,8.0
40041-1,27.0,0.0
40042-1,25.0,0.0
40043-1,24.0,0.0
40044-1,25.0,0.0
40045-1,27.0,0.0
40045-2,27.0,0.0
40047-1,41.0,0.0
40048-1,24.0,0.0
40049-1,66.0,3.0
4005-1,62.0,4.0
40051-1,54.0,0.0
40052-1,91.0,2.0
40053-1,107.0,0.0
40054-1,36.0,4.0
40055-1,54.0,0.0
40056-1,45.0,4.0
40057-1,72.0,0.0
40058-1,102.0,18.0
40059-1,88.0,2.0
40061-1,32.0,8.0
40062-1,58.0,1.0
40063-1,33.0,0.0
40064-1,32.0,0.0
40065-1,21.0,0.0
40066-1,38.0,0.0
40067-1,37.0,0.0
40068-1,31.0,0.0
40069-1,44.0,0.0
40070-1,22.0,0.0
40071-1,42.0,2.0
40072,32.0,0.0
40073-1,70.0,0.0
40076-1,57.0,9.0
40077-1,90.0,0.0
40078-1,37.0,2.0
40079-1,63.0,15.0
40080-1,150.0,0.0
40081-1,121.0,0.0
40081-2,121.0,0.0
40081-3,121.0,0.0
40081-4,121.0,0.0
40081-5,121.0,0.0
40082-1,106.0,15.0
40083-1,113.0,11.0
40084-1,8.0,1.0
40085-1,127.0,0.0
40086-1,111.0,0.0
40090-1,161.0,0.0
40091-1,125.0,0.0
40092-1,150.0,0.0
40093-1,148.0,0.0
40094-1,36.0,8.0
40095-1,44.0,6.0
40096-1,62.0,0.0
40097-1,41.0,3.0
40098-1,43.0,2.0
40099-1,32.0,1.0
40-1,287.0,6.0
40100-1,46.0,3.0
4010-1,70.0,14.0
40101-1,46.0,0.0
40102-1,32.0,5.0
40103-1,37.0,11.0
40104-1,39.0,0.0
40105-1,60.0,0.0
40106-1,112.0,3.0
40107-1,103.0,33.0
40108-1,68.0,1.0
40109-1,56.0,8.0
40110-1,124.0,1.0
4011-1,81.0,10.0
40112-1,137.0,13.0
40114-1,207.0,0.0
40115-1,269.0,2.0
40116-1,32.0,2.0
40117-1,22.0,6.0
40118-1,209.0,0.0
401-2,7.0,0.0
40120-1,123.0,4.0
4012-1,86.0,14.0
40121-1,163.0,7.0
40122-1,135.0,10.0
40123-1,158.0,9.0
40124-1,114.0,1.0
40125-1,180.0,3.0
40126-1,55.0,0.0
40127-1,35.0,4.0
40128-1,48.0,2.0
40129-1,32.0,10.0
401-3,7.0,0.0
40130-1,65.0,0.0
4013-1,984.0,16.0
40131-1,52.0,3.0
40132-1,30.0,1.0
40133-1,49.0,0.0
40134-1,48.0,1.0
40135-1,28.0,1.0
40136-1,30.0,3.0
40137,24.0,6.0
40138-1,240.0,16.0
40139-1,261.0,43.0
40140-1,83.0,0.0
4014-1,498.0,2.0
40141-1,155.0,48.0
40142-1,139.0,41.0
40143-1,186.0,48.0
40144-1,139.0,25.0
40145-1,367.0,45.0
40146-1,62.0,3.0
40148-1,99.0,0.0
4015-1,75.0,5.0
40153-1,123.0,7.0
40154-1,177.0,7.0
40155-1,148.0,0.0
40156-1,162.0,11.0
40158-1,865.0,3.0
4016-1,20.0,1.0
40161-1,498.0,38.0
40165-1,93.0,4.0
40166-1,211.0,5.0
4017-1,12.0,1.0
40171-1,239.0,0.0
40172-1,278.0,0.0
40174-1,1450.0,0.0
40179-1,4502.0,0.0
40180-1,140.0,39.0
4018-1,11.0,1.0
40181-1,133.0,23.0
40182-1,167.0,31.0
40183-1,166.0,33.0
40190-1,46.0,2.0
4019-1,16.0,1.0
40191-1,44.0,3.0
40192-1,48.0,0.0
40193-1,47.0,2.0
40194-1,59.0,4.0
40195-1,78.0,7.0
40196-1,89.0,10.0
4020-1,195.0,11.0
40201-1,158.0,0.0
40202-1,111.0,0.0
40203-1,159.0,0.0
40204-1,163.0,0.0
40205-1,258.0,3.0
40206-1,165.0,0.0
40207-1,169.0,0.0
40208-1,40.0,0.0
40209-1,20.0,6.0
402-1,391.0,10.0
40210-1,49.0,0.0
4021-1,175.0,24.0
40211-1,30.0,4.0
40212-1,39.0,0.0
40213-1,20.0,7.0
40214-1,66.0,0.0
40215-1,61.0,0.0
40216-1,57.0,13.0
40217-1,60.0,0.0
40218-1,40.0,0.0
40219-1,58.0,0.0
402-2,5.0,0.0
40220-1,97.0,25.0
4022-1,173.0,20.0
40221-1,100.0,11.0
40222-1,255.0,29.0
40223-1,205.0,25.0
40225-1,196.0,0.0
40226-1,132.0,1.0
40227-1,177.0,12.0
40228-1,139.0,0.0
402-3,5.0,0.0
4023-1,53.0,2.0
40236-1,141.0,5.0
40237-1,152.0,2.0
40239-1,48.0,0.0
40240-1,55.0,0.0
4024-1,0.0,0.0
4024-10,12.0,1.0
4024-11,14.0,3.0
40241-1,38.0,0.0
4024-12,19.0,3.0
4024-13,11.0,0.0
4024-14,16.0,0.0
4024-15,12.0,0.0
4024-16,19.0,2.0
4024-17,12.0,2.0
4024-18,11.0,0.0
4024-19,7.0,3.0
4024-2,20.0,0.0
4024-20,16.0,3.0
4024-21,14.0,0.0
40242-1,58.0,0.0
4024-22,18.0,0.0
4024-23,18.0,0.0
4024-24,15.0,1.0
4024-25,13.0,2.0
4024-3,9.0,0.0
40243-1,49.0,5.0
4024-4,12.0,0.0
40244-1,36.0,4.0
4024-5,15.0,0.0
4024-6,9.0,0.0
4024-7,8.0,0.0
4024-8,12.0,1.0
4024-9,10.0,0.0
4025-1,146.0,4.0
40252-1,131.0,16.0
4026-1,100.0,0.0
40265-1,59.0,0.0
4027-1,100.0,0.0
4028-1,458.0,42.0
4029-1,458.0,42.0
4030-1,303.0,20.0
4031-1,338.0,34.0
403-2,12.0,0.0
4032-1,150.0,19.0
4032-10,125.0,19.0
4032-11,125.0,19.0
4032-12,125.0,19.0
4032-13,151.0,19.0
4032-2,128.0,19.0
4032-3,125.0,19.0
4032-4,127.0,19.0
4032-5,125.0,19.0
4032-6,125.0,19.0
4032-7,126.0,19.0
4032-8,150.0,19.0
4032-9,125.0,19.0
403-3,12.0,0.0
4037-1,8.0,1.0
4038-1,28.0,9.0
404-1,459.0,12.0
4042-1,4.0,0.0
404-3,12.0,0.0
404-4,12.0,0.0
4047-1,478.0,39.0
4048-1,0.0,0.0
4049-1,23.0,7.0
4051-1,4.0,0.0
4052-1,4.0,0.0
4053-1,5.0,0.0
4055-1,327.0,2.0
4056-1,9.0,8.0
4057-1,9.0,1.0
4058-1,5.0,0.0
4059-1,5.0,0.0
4060-1,5.0,0.0
4061-1,5.0,0.0
4062-1,5.0,0.0
4063-1,5.0,0.0
4064-1,4.0,0.0
4065-1,4.0,0.0
4066-1,5.0,0.0
4067-1,10.0,7.0
4068-1,8.0,0.0
4069-1,4.0,0.0
4070-1,8.0,0.0
4071-1,1.0,7.0
4072-1,7.0,0.0
4073-1,6.0,0.0
4074-1,13.0,1.0
4075-1,13.0,0.0
4076-1,17.0,0.0
4077-1,13.0,0.0
4078-1,18.0,0.0
4079-1,4.0,0.0
4090-1,249.0,0.0
409-1,95.0,19.0
4093-1,316.0,12.0
4094-1,252.0,9.0
4095-1,345.0,5.0
4096-1,203.0,18.0
4097-1,219.0,10.0
4098-1,188.0,12.0
4099-1,324.0,8.0
41000-1,27.0,3.0
4100-1,280.0,21.0
41001-1,100.0,0.0
41002-1,90.0,10.0
41003-1,88.0,4.0
41004-1,198.0,19.0
41005-1,510.0,12.0
41006-1,238.0,47.0
41007-1,267.0,12.0
41008-1,424.0,40.0
41009-1,86.0,16.0
410-1,25.0,3.0
41010-1,94.0,7.0
4101-1,487.0,8.0
41011-1,89.0,3.0
41013-1,156.0,18.0
41015-1,592.0,67.0
41016-1,0.0,0.0
41016-10,22.0,0.0
41016-11,20.0,0.0
41016-12,4.0,0.0
41016-13,9.0,0.0
41016-14,8.0,0.0
41016-15,7.0,1.0
41016-16,12.0,0.0
41016-17,19.0,0.0
41016-18,9.0,0.0
41016-19,8.0,0.0
41016-2,4.0,0.0
41016-20,4.0,2.0
41016-21,15.0,5.0
41016-22,7.0,4.0
41016-23,9.0,0.0
41016-24,3.0,0.0
41016-25,12.0,0.0
41016-3,10.0,1.0
41016-4,13.0,1.0
41016-5,4.0,0.0
41016-6,19.0,0.0
41016-7,6.0,5.0
41016-8,15.0,0.0
41016-9,12.0,0.0
41017-1,52.0,0.0
41018-1,38.0,0.0
41019-1,35.0,5.0
41020-1,39.0,0.0
41021-1,51.0,0.0
41022-1,42.0,0.0
41023-1,39.0,0.0
41024-1,35.0,0.0
41025-1,44.0,0.0
41026-1,240.0,17.0
41027-1,121.0,9.0
41028-1,77.0,10.0
41029-1,92.0,4.0
41030-1,93.0,12.0
4103-1,200.0,0.0
41031-1,120.0,6.0
4103-2,204.0,0.0
41032-1,161.0,5.0
41033-1,186.0,12.0
41034-1,303.0,26.0
41035-1,275.0,20.0
41036-1,368.0,24.0
41037-1,375.0,36.0
41038-1,481.0,18.0
41039-1,745.0,9.0
41040-1,0.0,0.0
41040-10,7.0,2.0
41040-11,17.0,0.0
41040-12,13.0,1.0
41040-13,9.0,0.0
41040-14,10.0,5.0
41040-15,10.0,5.0
41040-16,13.0,1.0
41040-17,6.0,2.0
41040-18,19.0,2.0
41040-19,12.0,2.0
41040-2,4.0,0.0
41040-20,10.0,0.0
41040-21,3.0,0.0
41040-22,9.0,0.0
41040-23,10.0,0.0
41040-24,13.0,6.0
41040-25,19.0,2.0
41040-3,12.0,0.0
41040-4,5.0,0.0
41040-5,4.0,0.0
41040-6,15.0,0.0
41040-7,4.0,0.0
41040-8,11.0,0.0
41040-9,14.0,0.0
4104-1,168.0,32.0
41041-1,44.0,4.0
41042-1,46.0,1.0
41043-1,41.0,10.0
41044-1,38.0,4.0
41045-1,41.0,0.0
41046-1,39.0,3.0
41047-1,37.0,4.0
41048-1,50.0,0.0
41049-1,51.0,0.0
41050-1,78.0,6.0
4105-1,500.0,0.0
41051-1,140.0,15.0
4105-2,500.0,0.0
41052-1,251.0,14.0
4105-3,445.0,38.0
41053-1,270.0,16.0
41054-1,321.0,6.0
41055-1,650.0,34.0
41056-1,247.0,29.0
41057-1,381.0,10.0
41058-1,1114.0,116.0
41059-1,323.0,14.0
41060-1,99.0,7.0
4106-1,498.0,2.0
41061-1,147.0,12.0
41062-1,264.0,53.0
41063-1,362.0,44.0
41065-1,136.0,8.0
41066-1,167.0,19.0
41067-1,370.0,38.0
41068-1,443.0,72.0
41069-1,60.0,19.0
4107-1,984.0,16.0
41071-1,101.0,12.0
41072-1,225.0,43.0
41073-1,293.0,37.0
41074-1,298.0,51.0
41075-1,487.0,55.0
41076-1,139.0,49.0
41077-1,311.0,26.0
41078-1,777.0,71.0
4108-1,2.0,0.0
41085-1,192.0,14.0
41086-1,80.0,15.0
41087-1,52.0,1.0
41088-1,71.0,4.0
41089-1,45.0,0.0
41090-1,84.0,7.0
4109-1,2.0,0.0
41091-1,186.0,23.0
41092-1,85.0,10.0
41093-1,323.0,33.0
41094-1,464.0,52.0
41095-1,717.0,66.0
41097-1,260.0,13.0
41098-1,99.0,13.0
41099-1,200.0,16.0
41-1,4.0,0.0
41100-1,197.0,32.0
4110-1,2.0,0.0
41101-1,1493.0,166.0
41102-1,231.0,18.0
41103-1,165.0,19.0
41104-1,290.0,23.0
41105-1,409.0,62.0
41106-1,621.0,60.0
41107-1,249.0,33.0
41108-1,377.0,14.0
41109-1,622.0,69.0
41110-1,169.0,23.0
4111-1,2.0,0.0
41111-1,113.0,8.0
41112-1,56.0,4.0
41113-1,58.0,3.0
41114-1,49.0,12.0
41115-1,126.0,5.0
41116-1,172.0,24.0
41117-1,168.0,39.0
41118-1,322.0,27.0
41119-1,448.0,44.0
41120-1,123.0,2.0
41121-1,322.0,29.0
41122-1,715.0,41.0
41123-1,92.0,7.0
41124-1,275.0,10.0
41125-1,363.0,28.0
41126-1,569.0,14.0
41127-1,160.0,25.0
41128-1,154.0,53.0
41129-1,235.0,21.0
41130-1,965.0,245.0
4113-1,124.0,0.0
41131-1,198.0,20.0
41132-1,158.0,17.0
41133-1,351.0,72.0
41134-1,702.0,71.0
41135-1,494.0,103.0
41140-1,91.0,22.0
41141-1,80.0,5.0
41142-1,197.0,16.0
41143-1,39.0,4.0
41144-1,64.0,10.0
41147-1,127.0,26.0
41148-1,503.0,197.0
41149-1,205.0,19.0
41150-1,306.0,27.0
4115-1,163.0,3.0
4116-1,210.0,1.0
4117-1,259.0,7.0
41171-1,66.0,22.0
41172-1,190.0,39.0
41173-1,216.0,32.0
41174-1,331.0,43.0
4117463-1,1.0,0.0
41175-1,424.0,49.0
41176-1,680.0,67.0
41177-1,260.0,37.0
41178-1,543.0,80.0
41179-1,760.0,73.0
41180-1,968.0,105.0
4118-1,352.0,12.0
41181-1,70.0,7.0
41182-1,244.0,11.0
41183-1,334.0,25.0
41184-1,353.0,21.0
41185-1,638.0,50.0
4119-1,224.0,10.0
4120-1,594.0,14.0
4121-1,174.0,0.0
4122-1,193.0,8.0
41230-1,196.0,26.0
41231-1,200.0,34.0
41232-1,661.0,100.0
41233-1,131.0,27.0
41234-1,116.0,36.0
41235-1,169.0,28.0
4124-1,0.0,0.0
4124-10,16.0,2.0
4124-11,8.0,0.0
4124-12,7.0,3.0
4124-13,10.0,0.0
4124-14,15.0,0.0
4124-15,9.0,2.0
4124-16,10.0,0.0
4124-17,7.0,2.0
4124-18,9.0,0.0
4124-19,9.0,1.0
4124-2,10.0,0.0
4124-20,9.0,0.0
4124-21,8.0,2.0
4124-22,9.0,2.0
4124-23,10.0,1.0
4124-24,9.0,1.0
4124-25,8.0,0.0
4124-3,1.0,0.0
4124-4,10.0,1.0
4124-5,10.0,0.0
4124-6,13.0,2.0
4124-7,10.0,0.0
4124-8,1.0,0.0
4124-9,11.0,0.0
4128-1,652.0,7.0
41300-1,188.0,12.0
4130-1,37.0,0.0
41301-1,144.0,11.0
41302-1,44.0,8.0
41303-1,70.0,0.0
41304-1,50.0,0.0
41305-1,96.0,12.0
41306-1,70.0,15.0
41307-1,86.0,21.0
41308-1,101.0,10.0
41309-1,82.0,11.0
41310-1,179.0,20.0
4131-1,71.0,0.0
41311-1,295.0,12.0
41312-1,318.0,32.0
41313-1,586.0,53.0
41314-1,626.0,33.0
4132-1,122.0,0.0
4133-1,135.0,0.0
4134-1,252.0,0.0
4135-1,121.0,0.0
4137-1,127.0,0.0
4139-1,249.0,0.0
4142-1,98.0,0.0
414-3,10.0,0.0
4143-1,196.0,0.0
414-4,10.0,0.0
4144-1,142.0,0.0
414-5,10.0,0.0
4145-1,254.0,0.0
414-6,10.0,0.0
4146-1,410.0,0.0
4147-1,191.0,0.0
41492-1,166.0,8.0
41493-1,164.0,3.0
41500-1,55.0,4.0
4150-1,92.0,0.0
41501-1,66.0,8.0
41502-1,44.0,2.0
41503-1,71.0,0.0
41504-1,53.0,0.0
41505-1,55.0,0.0
41506-1,55.0,1.0
41507-1,62.0,1.0
41508-1,64.0,9.0
41509-1,54.0,12.0
415-1,27.0,0.0
41510-1,47.0,7.0
4151-1,276.0,1.0
41511-1,45.0,4.0
41512-1,74.0,0.0
4151270-1,0.0,0.0
41513-1,61.0,0.0
41514-1,63.0,0.0
41515-1,73.0,0.0
41516-1,56.0,17.0
41517-1,72.0,0.0
41518-1,57.0,12.0
41519-1,59.0,6.0
41520-1,40.0,10.0
4152-1,411.0,1.0
41521-1,70.0,7.0
41522-1,74.0,4.0
41523-1,66.0,8.0
41524-1,65.0,5.0
41525-1,53.0,12.0
41526-1,66.0,7.0
41527-1,64.0,5.0
41528-1,59.0,6.0
41529-1,50.0,7.0
41530-1,61.0,7.0
4153-1,689.0,11.0
41531-1,58.0,6.0
41532-1,55.0,8.0
41533-1,49.0,0.0
41534-1,62.0,0.0
41535-1,54.0,0.0
41536-1,65.0,0.0
41537-1,63.0,0.0
41538-1,60.0,0.0
41539-1,55.0,7.0
41540-1,61.0,8.0
41541-1,49.0,7.0
41542-1,47.0,6.0
41543-1,56.0,5.0
41544-1,58.0,5.0
41545-1,67.0,3.0
41546-1,66.0,3.0
41547-1,73.0,3.0
41548-1,48.0,5.0
41549-1,54.0,16.0
41550-1,36.0,19.0
41551-1,56.0,0.0
41552-1,72.0,0.0
41553-1,68.0,4.0
41554-1,63.0,4.0
41555-1,67.0,6.0
41556-1,60.0,7.0
41557-1,71.0,0.0
41558-1,69.0,0.0
41559-1,66.0,0.0
41560-1,70.0,0.0
41561-1,59.0,0.0
41562-1,59.0,0.0
41563-1,70.0,1.0
41564-1,63.0,10.0
41565-1,64.0,9.0
41566-1,57.0,0.0
41567-1,70.0,0.0
41568-1,66.0,0.0
41569-1,60.0,5.0
41570-1,61.0,7.0
4157-1,37.0,1.0
41571-1,68.0,2.0
41572-1,63.0,3.0
41573-1,64.0,1.0
41574-1,60.0,9.0
41575-1,64.0,0.0
41576-1,63.0,0.0
41577-1,64.0,0.0
41578-1,74.0,4.0
41579-1,59.0,6.0
41580-1,64.0,4.0
4158-1,134.0,0.0
41585-1,94.0,0.0
41586-1,104.0,0.0
41587-1,104.0,0.0
41588-1,158.0,0.0
41589-1,83.0,0.0
41590-1,97.0,3.0
41591-1,149.0,0.0
41592-1,98.0,0.0
41593-1,117.0,0.0
41594-1,125.0,2.0
41595-1,148.0,0.0
41596-1,122.0,0.0
416-1,18.0,0.0
4161-1,294.0,4.0
4162-1,594.0,9.0
4163-1,341.0,9.0
4164-1,26.0,1.0
4165-1,86.0,0.0
4166-1,89.0,1.0
4167-1,121.0,2.0
4169306a-1,33.0,13.0
4169306b-1,36.0,0.0
4169306c-1,36.0,0.0
4171-1,52.0,1.0
4172-1,42.0,2.0
417-3,10.0,0.0
4173-1,57.0,2.0
417-4,20.0,0.0
4174-1,166.0,7.0
4175-1,217.0,2.0
4176-1,321.0,5.0
4177-1,375.0,7.0
4178-1,107.0,0.0
4179-1,498.0,2.0
4180878,0.0,0.0
4181-1,170.0,4.0
418-2,59.0,6.0
4182-1,287.0,7.0
418-3,105.0,21.0
4183-1,370.0,4.0
4184-1,822.0,9.0
4184912-1,1.0,0.0
4186868-1,201.0,6.0
4186870-1,121.0,0.0
4186872-1,171.0,26.0
4186874-1,156.0,17.0
4186875-1,46.0,2.0
4186876-1,168.0,26.0
4189224-1,45.0,2.0
4191-1,96.0,6.0
419-2,68.0,7.0
4192-1,113.0,21.0
419-3,125.0,25.0
4193-1,474.0,13.0
4194-1,762.0,13.0
4195-1,1099.0,25.0
4195641-1,0.0,0.0
41999-1,1589.0,17.0
42000-1,1142.0,7.0
4200-1,96.0,16.0
42001-1,100.0,6.0
42002-1,175.0,0.0
42004-1,248.0,3.0
42005-1,331.0,2.0
42006-1,727.0,3.0
42007-1,260.0,0.0
42008-1,1264.0,33.0
42009-1,2617.0,26.0
420-1,15.0,4.0
42010-1,161.0,3.0
4201-1,123.0,26.0
42011-1,159.0,2.0
42020-1,150.0,2.0
4202-1,256.0,13.0
42021-1,190.0,2.0
42022-1,418.0,8.0
42023-1,847.0,18.0
42024-1,945.0,15.0
42025-1,1306.0,8.0
42026-1,138.0,0.0
42026-2,140.0,0.0
42027-1,145.0,10.0
42028-1,618.0,7.0
42029-1,1060.0,17.0
420-3,90.0,10.0
42030-1,1644.0,16.0
4203-1,289.0,23.0
42031-1,152.0,11.0
42032-1,255.0,8.0
42033-1,125.0,1.0
42034-1,151.0,2.0
42035-1,361.0,8.0
42036-1,377.0,5.0
42037-1,498.0,2.0
42038-1,910.0,13.0
42039-1,1223.0,12.0
420-4,165.0,33.0
42040-1,568.0,18.0
4204-1,730.0,57.0
42041-1,610.0,10.0
42042-1,1417.0,7.0
42043-1,2811.0,25.0
42044-1,116.0,0.0
42045-1,183.0,0.0
42046-1,168.0,8.0
42047-1,183.0,8.0
42048-1,347.0,6.0
42049-1,477.0,10.0
42050-1,653.0,5.0
4205-1,353.0,45.0
42052-1,1050.0,9.0
42053-1,1169.0,11.0
42054-1,1972.0,30.0
42055-1,3951.0,28.0
42056-1,2673.0,62.0
42057-1,205.0,0.0
42058-1,138.0,7.0
42059-1,143.0,3.0
42060-1,371.0,9.0
4206-1,28.0,0.0
42061-1,260.0,8.0
4206-2,286.0,25.0
42062-1,632.0,13.0
42063-1,596.0,8.0
42063-40,565.0,3.0
42064-1,1347.0,10.0
42065-1,371.0,2.0
42066-1,1161.0,4.0
4207-1,878.0,74.0
4207901-1,0.0,0.0
4208-1,217.0,30.0
4209-1,452.0,72.0
42-1,1.0,0.0
4210-1,438.0,26.0
421-1,154.0,22.0
4211-1,53.0,0.0
421-2,90.0,10.0
4212-1,95.0,0.0
4212838-1,62.0,0.0
4212847-1,99.0,0.0
4212852-1,178.0,0.0
4213-1,515.0,4.0
4214-1,267.0,1.0
4215-1,264.0,0.0
4216-1,509.0,0.0
4217-1,215.0,0.0
4219-1,288.0,0.0
4220-1,428.0,0.0
422-1,28.0,0.0
4221-1,63.0,2.0
4222-1,354.0,9.0
4223-1,540.0,8.0
4224-1,358.0,7.0
4225-1,242.0,2.0
4228383-1,2.0,0.0
4229-1,812.0,0.0
4232-1,30.0,0.0
423-3,70.0,14.0
4239-1,37.0,1.0
4243532-1,35.0,0.0
4243534-1,35.0,0.0
4244-1,420.0,0.0
425-1,20.0,1.0
4254-1,308.0,3.0
4258-1,1009.0,2.0
426-1,7.0,0.0
4267-1,468.0,2.0
427-1,8.0,0.0
4271-1,179.0,1.0
4274-1,506.0,4.0
4277206-1,2.0,70.0
4277678-1,180.0,4.0
4278-1,926.0,74.0
4279-1,928.0,74.0
4280-1,39.0,0.0
428-1,5.0,0.0
4281-1,25.0,0.0
4282-1,36.0,1.0
4283-1,53.0,0.0
4284-1,123.0,1.0
4285-1,252.0,4.0
4285968-1,47.0,0.0
4285969-1,47.0,0.0
4285970-1,47.0,0.0
4286013-1,10.0,0.0
4286024-1,10.0,0.0
4286025-1,10.0,0.0
4286784-1,6.0,0.0
4287082-1,7.0,3.0
4287744-1,0.0,0.0
4288-1,396.0,9.0
429-1,4.0,0.0
4291-1,769.0,4.0
4293-1,814.0,3.0
4294-1,15.0,1.0
4297-1,18.0,1.0
4298-1,21.0,1.0
4299-1,17.0,0.0
4-3,232.0,2.0
4300-1,22.0,0.0
430-1,17.0,1.0
4301-1,24.0,0.0
430-2,6.0,0.0
4304-1,19.0,6.0
4305-1,30.0,6.0
4306-1,15.0,0.0
4308-1,29.0,0.0
4309-1,32.0,0.0
4310-1,25.0,0.0
431-1,5.0,8.0
432-1,8.0,0.0
433-1,6.0,0.0
4335-1,45.0,6.0
4336-1,48.0,0.0
4337-1,42.0,11.0
4338-1,46.0,5.0
4339-1,55.0,4.0
434-1,50.0,0.0
4346-1,48.0,4.0
4346-2,46.0,3.0
4346-3,48.0,4.0
4347-1,34.0,8.0
4347-2,32.0,7.0
4347-3,34.0,8.0
4348-1,31.0,6.0
4348-2,29.0,5.0
4348-3,31.0,6.0
4349-1,47.0,1.0
4349-2,41.0,0.0
4349-3,47.0,1.0
435-1,22.0,1.0
435-2,3.0,0.0
437-1,50.0,0.0
4-4,218.0,0.0
44000-1,97.0,10.0
4400-1,667.0,38.0
44001-1,46.0,9.0
44002-1,44.0,4.0
44003-1,46.0,4.0
44004-1,47.0,8.0
44005-1,63.0,6.0
44006-1,49.0,4.0
44007-1,54.0,6.0
44008-1,55.0,13.0
44009-1,150.0,6.0
44010-1,61.0,10.0
4401-1,111.0,4.0
44011-1,52.0,11.0
44012-1,49.0,3.0
44013-1,40.0,6.0
44014-1,279.0,15.0
44015-1,46.0,4.0
44016-1,44.0,5.0
44017-1,79.0,8.0
44018-1,71.0,7.0
44019-1,77.0,11.0
44020-1,87.0,4.0
4402-1,553.0,3.0
44021-1,92.0,16.0
44022-1,173.0,19.0
44023-1,47.0,7.0
44024-1,55.0,4.0
44025-1,91.0,20.0
44026-1,61.0,22.0
44027-1,91.0,10.0
44028-1,167.0,20.0
44029-1,188.0,28.0
4403-1,699.0,13.0
4404-1,758.0,25.0
4405-1,1225.0,80.0
4406-1,478.0,28.0
4407-1,284.0,18.0
4408-1,198.0,4.0
4410-1,500.0,0.0
4411-1,1118.0,82.0
4412-1,168.0,32.0
4413-1,57.0,3.0
4414-1,458.0,42.0
4415-1,52.0,6.0
4416-1,58.0,11.0
4417-1,55.0,8.0
4418-1,52.0,6.0
442-1,36.0,3.0
4421-1,1000.0,0.0
4423-1,800.0,0.0
4425-1,1852.0,148.0
4427-1,46.0,7.0
4428-1,0.0,0.0
4428-10,7.0,0.0
4428-11,10.0,0.0
4428-12,12.0,1.0
4428-13,6.0,0.0
4428-14,8.0,0.0
4428-15,1.0,4.0
4428-16,15.0,2.0
4428-17,9.0,0.0
4428-18,16.0,0.0
4428-19,7.0,0.0
4428-2,7.0,0.0
4428-20,9.0,0.0
4428-21,9.0,0.0
4428-22,8.0,2.0
4428-23,11.0,0.0
4428-24,18.0,0.0
4428-25,13.0,0.0
4428-3,9.0,0.0
4428-4,12.0,6.0
4428-5,7.0,1.0
4428-6,17.0,0.0
4428-7,10.0,0.0
4428-8,16.0,5.0
4428-9,22.0,3.0
4429-1,371.0,73.0
442A-1,6.0,0.0
442B-1,6.0,0.0
4430-1,473.0,61.0
4431-1,166.0,38.0
4432-1,193.0,22.0
4433-1,187.0,24.0
4434-1,204.0,24.0
4435-1,193.0,31.0
4436-1,86.0,16.0
4437-1,114.0,19.0
4438-1,302.0,26.0
4439-1,375.0,25.0
4440-1,597.0,53.0
4441-1,269.0,53.0
4442-1,92.0,11.0
4443-1,4.0,0.0
4444-1,4.0,0.0
4445-1,4.0,0.0
4446-1,4.0,0.0
4447-1,4.0,0.0
4448-1,4.0,0.0
4449-1,4.0,0.0
4450-1,4.0,0.0
445062-1,0.0,0.0
445-1,46.0,3.0
4451-1,4.0,0.0
445-2,2.0,1.0
4452-1,4.0,0.0
4453-1,4.0,0.0
4454-1,8.0,0.0
4455-1,6.0,0.0
4456-1,5.0,0.0
4457-1,4.0,0.0
4458-1,11.0,0.0
4459-1,4.0,0.0
445A-1,7.0,1.0
4460-1,7.0,0.0
4461-1,7.0,0.0
4462-1,18.0,0.0
4463-1,13.0,3.0
4464-1,1.0,6.0
4465-1,3.0,3.0
4466-1,3.0,0.0
4467-1,3.0,0.0
4468-1,9.0,0.0
4469-1,6.0,2.0
4470-1,2.0,0.0
4471-1,4.0,0.0
4472-1,4.0,0.0
4473-1,99.0,7.0
4475-1,43.0,7.0
4476-1,42.0,2.0
4477-1,98.0,3.0
4478-1,162.0,10.0
4478-2,144.0,9.0
4479-1,221.0,14.0
4480-1,229.0,12.0
4481-1,685.0,4.0
4482-1,645.0,11.0
4483-1,1071.0,4.0
4483-2,1067.0,3.0
4484-1,75.0,3.0
4485-1,68.0,8.0
4486-1,79.0,4.0
4487-1,55.0,4.0
4488-1,90.0,2.0
