name,matte,transparent
Imperial Speeder Bike,33.0,0.0
Clone Walker,33.0,0.0
Snowman,50.0,0.0
Christmas Tree,51.0,1.0
T-Junction Road Plates,2.0,0.0
Fire Chief,30.0,3.0
Kabaya Promotional Set: Propeller Buggy,33.0,0.0
Police Dinghy,13.0,4.0
Mini Airplane,34.0,6.0
Police Quad,25.0,6.0
Police Helicopter,27.0,10.0
Jet Ski,24.0,0.0
Small Satellite,23.0,11.0
Police Boat,30.0,6.0
Police Plane,28.0,9.0
Fire Helicopter,36.0,3.0
Jet,39.0,8.0
Parrot,48.0,3.0
Bee,21.0,2.0
Lighthouse,25.0,2.0
Truck,51.0,7.0
Clown Fish,61.0,0.0
Panda,65.0,0.0
Reindeer,72.0,0.0
Wreath,52.0,0.0
LEGO Pudsey Bear,99.0,0.0
Racing Car,31.0,0.0
Motorbike,32.0,0.0
World Race Powerboat,28.0,0.0
World Race Buggy,35.0,0.0
Racing Truck,39.0,2.0
Racing Tow Truck,32.0,3.0
Racing Car,30.0,0.0
Buggy Racer,26.0,0.0
Octopus,41.0,4.0
Piranha,45.0,4.0
Mini Sub,37.0,5.0
Republic Attack Shuttle - Mini,51.0,9.0
Kabaya Promotional Set: Car,27.0,1.0
X-wing Fighter - Mini,60.0,7.0
AAT - Mini,48.0,0.0
Republic Attack Cruiser - Mini,39.0,5.0
AT-ST - Mini,48.0,0.0
Vulture Droid - Mini,42.0,3.0
Star Destroyer,38.0,4.0
Anakin's Pod Racer,39.0,4.0
STAP,20.0,2.0
MTT,51.0,0.0
Attack Wagon,37.0,1.0
Target Practice,31.0,2.0
Circus Clown Polybag,3.0,0.0
Circus Ringmaster Polybag,3.0,0.0
Circus Tiger Polybag,3.0,0.0
Circus Rabbit Polybag,3.0,0.0
Duplo Farm Polybag (farmer),5.0,0.0
Duplo Farm Polybag (calf),5.0,0.0
Duplo Farm Polybag (goat),5.0,0.0
Duplo Farm Polybag (cat),5.0,0.0
Food,6.0,0.0
Alien Space Ship,27.0,7.0
Army Jeep,34.0,5.0
Woody's Camp Out,14.0,3.0
Buzz's Mini Ship,22.0,0.0
Ninja Glider,26.0,0.0
Skeleton Chopper,42.0,0.0
Enemy Training,31.0,3.0
Dragon Fight,33.0,0.0
Ninjago Promotional Set,5.0,0.0
Snake Battle,43.0,2.0
Hidden Sword,41.0,0.0
Cole ZX's Car,28.0,0.0
Rattla,5.0,0.0
Desert Glider,32.0,1.0
Desert Rover,31.0,3.0
Universal Building Set,196.0,4.0
Andrea on the Beach,26.0,8.0
Skate Boarder,29.0,3.0
Desk,28.0,4.0
Car,31.0,1.0
Stephanie and Mailbox,46.0,0.0
Ice Cream Stand,36.0,1.0
Birthday Party,38.0,5.0
Summer Picnic,33.0,4.0
Curved Road Plates,2.0,0.0
Trolley,23.0,0.0
The Lab,31.0,5.0
Emma's Flower Stand,44.0,0.0
Stephanie's Bakery Stand,35.0,0.0
Andrea's Beach Lounge,27.0,5.0
Jungle Boat,33.0,0.0
Rapunzel's Market Visit,42.0,0.0
Guido,35.0,0.0
Space Hover,18.0,2.0
Grem,52.0,2.0
Mini Black Pearl,46.0,4.0
Space Jet,19.0,4.0
Jacks Boat,21.0,1.0
Voodoo Jack,4.0,0.0
Jack Sparrow,4.0,0.0
ADU Walker,30.0,6.0
Ice Planet Scooter,17.0,2.0
ADU Jetpack,16.0,4.0
Race Car,36.0,2.0
Space Police Car,22.0,1.0
Mining Dozer,30.0,5.0
Mining Quad,34.0,8.0
Bat Jetski,39.0,2.0
Boss with Cannon,24.0,0.0
Batmobile,35.0,10.0
Quinjet,28.0,6.0
Thor and the Cosmic Cube,27.0,1.0
Lex Luthor,13.0,5.0
Hawkeye with Equipment,23.0,3.0
Robin and Redbird Cycle,40.0,0.0
Iron Man vs. Fighting Drone,18.0,8.0
Gun Mounting System,14.0,2.0
Ganrash,58.0,1.0
Water Spider,25.0,0.0
Twin Prop,41.0,8.0
Go! LEGO Shogun,26.0,0.0
Helicopter,54.0,1.0
Santa,59.0,3.0
Little Car,42.0,13.0
Little Helicopter,53.0,6.0
Little Eagle,52.0,0.0
Christmas Tree,40.0,11.0
Fast Car,53.0,8.0
Cute Kitten,60.0,0.0
Transport Plane,46.0,5.0
Ferrari 150° Italia,37.0,0.0
Big Bat,23.0,0.0
Scuderia Ferrari Truck,41.0,0.0
Ferrari F40,50.0,3.0
250 GT Berlinetta,23.0,3.0
458 Italia,30.0,5.0
FXX,56.0,0.0
Shell F1 Team,40.0,12.0
Snowman,60.0,0.0
Small Ship Set,24.0,2.0
Zombie Chauffeur Coffin Car,29.0,5.0
Raft of Johnse,20.0,0.0
Ghost,36.0,0.0
Smoothie Stand,38.0,5.0
Mini Golf,32.0,0.0
Wish Fountain,41.0,10.0
Pop Star,30.0,11.0
Straight Road Plates (without crosswalk),2.0,0.0
Frodo with Cooking Corner,36.0,3.0
King Pharaoh the Third,14.0,3.0
Uruk Hai with Ballista,21.0,0.0
Mirkwood Elf Guard,23.0,5.0
Gandalf at Dol Guldur,32.0,1.0
Legolas Greenleaf,35.0,0.0
Lake-town Guard,33.0,0.0
Snail,6.0,0.0
Straight Road Plates (with crosswalk),2.0,0.0
Fire Speedboat,40.0,4.0
Plane of Hurrykain,23.0,1.0
Fire Car,32.0,7.0
Police Helicopter,29.0,7.0
Lawn Mower,40.0,4.0
Seaplane,34.0,7.0
Police Helicopter ,37.0,15.0
Police Watercraft,32.0,4.0
Police ATV,37.0,5.0
Repair Lift,36.0,6.0
Mini Mech,21.0,9.0
Slyboot Car,23.0,1.0
Space Insectoid,25.0,7.0
Z-95 Headhunter,55.0,6.0
Mandalorian Fighter,48.0,7.0
Republic Frigate,43.0,4.0
Umbaran MHC,46.0,6.0
Anakin's Jedi Intercepter,42.0,5.0
Imperial Shuttle,52.0,5.0
ARC-170 Starfighter,55.0,4.0
Ewar's Acro-Fighter,32.0,3.0
25th Anniversary Silver Bucket,601.0,0.0
Winzar's Pack Patrol,34.0,6.0
Crug's Swamp Jet,23.0,1.0
Leonidas' Jungle Dragster,27.0,3.0
Razcal's Double-Crosser,32.0,6.0
Crawley,8.0,5.0
Ice Bear Mech,33.0,6.0
Azari’s Magic Fire,23.0,6.0
Lone Ranger’s Pump Car,26.0,0.0
25th Anniversary Silver Tub,1201.0,0.0
Tonto's Campfire,19.0,4.0
Gorzan's Walker ,25.0,9.0
Spider Crawler,35.0,5.0
Frax' Phoenix Flyer,31.0,5.0
Worriz' Fire Bike,32.0,5.0
Sykor's Ice Cruiser,20.0,5.0
Kraang's Turtle Target Practice,40.0,5.0
25th Anniversary Silver Bucket,418.0,2.0
Mikey's Mini-Shellraiser,44.0,2.0
A-Wing Starfighter,51.0,10.0
AT-DP,66.0,2.0
TIE Advanced Prototype,45.0,3.0
First Order Special Forces TIE Fighter Set,41.0,3.0
First Order Star Destroyer,51.0,11.0
Poe's X-wing Fighter,60.0,10.0
Kylo Ren's Command Shuttle,38.0,7.0
The Piece of Resistance,30.0,8.0
25th Anniversary Silver Tub,840.0,5.0
Micro Manager Battle,30.0,2.0
Super Secret Police Enforcer,35.0,10.0
Off-Road,39.0,7.0
Tractor,49.0,7.0
Tiger,81.0,0.0
Christmas Tree,77.0,2.0
Anacondrai Battle Mech,43.0,0.0
Jay Nano Mech,57.0,0.0
Kai Drifter,40.0,7.0
The Cowler Dragon,48.0,2.0
The Batman Tumbler,55.0,2.0
Batwing,38.0,9.0
Spider-Man,44.0,1.0
The Joker Bumper Car,43.0,5.0
The Avengers Quinjet,50.0,8.0
Spider-Man Super Jumper,35.0,6.0
Basic Building Set,33.0,0.0
Arctic Scout,37.0,9.0
Swamp Police Helicopter,46.0,10.0
Demolition Driller,40.0,3.0
Garbage Truck,48.0,4.0
Go-Kart Racer,40.0,8.0
Space Utility Vehicle,37.0,2.0
Aeroplane,45.0,1.0
Gallimimus Trap,27.0,5.0
Medium Bucket,600.0,0.0
Duck,4.0,0.0
Basic Bulk Tub (American Version),1200.0,0.0
Basic Bulk Tub (Overseas Version),1200.0,0.0
Fire Car,28.0,4.0
Prison Island Helicopter,43.0,8.0
Fire Car,48.0,10.0
Mini Dumper,46.0,3.0
Sports Car,43.0,9.0
Volcano Jackhammer,48.0,5.0
Police Helicopter,38.0,11.0
Police Car,44.0,11.0
Hot Rod,33.0,4.0
Knight's Cycle,38.0,7.0
Robin's Mini Fortrex,36.0,12.0
Knighton Hyper Cannon,45.0,6.0
The Lava Slinger,32.0,7.0
Sira's Adventurous Airglider,27.0,0.0
Knighton Rider,41.0,2.0
Motor Horse polybag,44.0,8.0
Shrunken Headquarters,48.0,3.0
Spider Slayer,372.0,3.0
Adventurers Plane,23.0,1.0
Cupcake Stall,29.0,4.0
Olaf's Summertime Fun,48.0,6.0
Adventure Camp Bridge,38.0,0.0
Bowling Alley,46.0,10.0
Gymnastic Bar,28.0,2.0
Challenger Set 200,154.0,1.0
Emma's Pool Slide,45.0,4.0
Basic Building Set,31.0,0.0
Big Bucket of Fun,468.0,2.0
Tractor & Trailer,82.0,0.0
Skybound Plane,29.0,2.0
Kai's Mini Dragon,38.0,8.0
Anchor-Jet,37.0,0.0
WU-CRU Training Dojo,47.0,0.0
The Batmobile,58.0,9.0
Captain America's Motorcycle,24.0,1.0
Spider-Man vs. The Venom Symbiote,47.0,2.0
The Milano,66.0,1.0
Halloween Bucket,257.0,1.0
Helicopter,44.0,6.0
Parrot,44.0,0.0
Racer,29.0,1.0
Reindeer,81.0,0.0
Turtle,36.0,0.0
U-Wing Fighter,53.0,8.0
Shanghai Surprise,104.0,5.0
Two Crater Plates,2.0,0.0
Blaze Attack,133.0,11.0
Fire Engine,158.0,12.0
Ninja Fire Fortress,167.0,6.0
The Mini Batmobile,63.0,5.0
Batman in the Phantom Zone polybag,55.0,12.0
The Joker Battle Training,40.0,15.0
The Mini Batwing,74.0,11.0
Emperor's Stronghold,324.0,11.0
Kelloggs Promotional Set: TECHNIC Motorcycle,30.0,0.0
Krypto Saves the Day,42.0,21.0
Adventurers Car,21.0,0.0
Go-Kart,22.0,1.0
Create 'n' Race - Master Builders,105.0,1.0
Busy City - Master Builders (Masterbuilders),68.0,9.0
Mars Mission - Master Builders (Masterbuilders),87.0,3.0
Scooby-Doo,2.0,0.0
First Order Stormtrooper,7.0,0.0
Batman Classic TV Series - Mr. Freeze,18.0,3.0
Cosmic Boy,4.0,3.0
Finn (FN-2187),3.0,0.0
Nightwing,4.0,2.0
Disco Batman - Tears of Batman,15.0,0.0
Two Lunar Landing Plates,2.0,0.0
City Park Café,233.0,30.0
R2-D2,80.0,0.0
VW Garage,43.0,2.0
Heartlake Flying Club,200.0,5.0
Olivia’s Tree House,218.0,2.0
Cosmos Glider,14.0,5.0
Circus Acrobat Polybag,3.0,0.0
Test Shuttle,19.0,2.0
Radar Buggy,24.0,3.0
Cosmic Wing,20.0,6.0
Mosquito,14.0,7.0
Light Flyer,15.0,5.0
VW Auto Showroom,48.0,3.0
Mega Tack,16.0,8.0
Booster,14.0,7.0
Red Ninja's Dragon Glider,18.0,2.0
Ninja Master's Boat,19.0,2.0
White Ninja's Attack Cart,23.0,0.0
Ninja Shogun's Small Fort,20.0,2.0
Kellogg's Promotional Set: Car,16.0,1.0
Kellogg's Promotional Set: Duck,14.0,0.0
Kellogg's Promotional Set: Plane,15.0,1.0
Bracelet Sympathy,40.0,0.0
Kellogg's Promotional Set: Helicopter,15.0,1.0
Basic Building Set,33.0,1.0
Fire Station,96.0,13.0
Bracelet Spring,38.0,0.0
Church,149.0,0.0
Fun Playground,31.0,0.0
Lego City - Police on Alert!,19.0,0.0
Mini Speeder,60.0,12.0
Mini Skyfighter,58.0,13.0
Super Racer,124.0,6.0
Red Rotors,139.0,11.0
Fierce Flyer,169.0,3.0
Construction Hauler,245.0,21.0
Highway Speedster,278.0,23.0
Power Mech,200.0,30.0
Thunder Wings,234.0,12.0
Small Cottage,267.0,13.0
Treehouse,365.0,7.0
Aviation Adventures,621.0,16.0
Family House,714.0,66.0
Red Thunder,59.0,13.0
Power Digger,64.0,3.0
Emerald Express,114.0,8.0
Sunset Speeder,118.0,9.0
Highway Cruiser,128.0,7.0
Forest Animals,276.0,0.0
Twinblade Adventures,211.0,12.0
Furry Creatures,296.0,0.0
Turbo Quad,182.0,9.0
Yellow Racers,329.0,11.0
Roaring Power,360.0,25.0
Mountain Hut,528.0,39.0
Bike Shop & Cafe,961.0,63.0
Blue Racer,62.0,10.0
Sea Plane,49.0,10.0
Cargo Heli,128.0,13.0
Tug,40.0,5.0
Red Go-Kart,108.0,3.0
Rainforest Animals,217.0,5.0
Red Creatures,222.0,4.0
Vehicle Transporter,244.0,31.0
Future Flyer,229.0,12.0
Beach Hut,276.0,21.0
Toy & Grocery Shop,445.0,35.0
Adventure Vehicles,274.0,20.0
Changing Seasons,531.0,21.0
Blue Power Jet,604.0,19.0
Basic Building Set,46.0,0.0
Desert Racers,56.0,14.0
Construction Vehicles,62.0,5.0
Super Soarer,88.0,16.0
Chopper transporter,117.0,16.0
Park Animals,207.0,0.0
Ocean Explorer,207.0,17.0
Fast Car,214.0,16.0
Propeller Plane,235.0,5.0
Lakeside Lodge,373.0,13.0
Twin Spin Helicopter,323.0,15.0
ESSO Filling Station,90.0,6.0
Corner Deli,461.0,22.0
Lighthouse Point,510.0,36.0
Vacation Getaways,767.0,50.0
Treehouse Adventures,392.0,13.0
Blue Express,69.0,4.0
Red Racer,63.0,13.0
Green Cruiser,111.0,14.0
Air Blazer,99.0,4.0
Mighty Dinosaurs,177.0,5.0
Sunset Street Bike,178.0,7.0
Airshow Aces,231.0,26.0
Robo Explorer 1,202.0,16.0
Beachside Vacation,278.0,9.0
Seaplane Adventures,343.0,16.0
Park Street Townhouse,576.0,21.0
Space Shuttle Explorer,272.0,13.0
Modular Poolside Holiday,355.0,6.0
Modular Modern Home,360.0,26.0
Modular Family Villa,697.0,31.0
Turbo Track Racer,640.0,24.0
Ferry,70.0,12.0
Basic Set,34.0,0.0
Airplanes,69.0,10.0
Medium Ship Set,21.0,0.0
Tanker,96.0,15.0
Boats,105.0,2.0
London Bus,140.0,0.0
Mindstorms EV3,605.0,0.0
Police Boat,45.0,8.0
Large & Small Wheels & Turn-Table,35.0,0.0
Carry and Shopping Accessories,12.0,0.0
Basic Building Set,62.0,0.0
Container Transport,79.0,7.0
European Taxie,37.0,11.0
Fire Fighter Ship,125.0,17.0
Farm Tractor,49.0,0.0
Truck,118.0,7.0
Basic Building Set,68.0,0.0
Small Car,40.0,5.0
Seaplane,100.0,7.0
Repair Truck,107.0,20.0
Tank Truck,208.0,25.0
Windmill Set,150.0,3.0
Passenger Plane,278.0,34.0
Passenger Plane - ANA Version,266.0,34.0
Airport,643.0,78.0
Stephanie’s Cool Convertible,139.0,15.0
Adventure Camper,301.0,37.0
Summer Riding Camp,1168.0,26.0
Emma's  Horse Trailer,225.0,19.0
Butterfly Beauty Shop,232.0,16.0
Heartlake Vet,362.0,23.0
Heartlake Stables,435.0,2.0
Truck with Trailer,72.0,2.0
Clikits Bracelet Heart,4.0,5.0
Clikits Bracelet Daisy,1.0,8.0
Clikits Bracelet Star,0.0,9.0
Small Aircraft,14.0,1.0
Basic Building Set,77.0,1.0
Airplane,115.0,5.0
Clowns,208.0,15.0
TIE Fighter - Mini,12.0,1.0
Large Ship Set,49.0,8.0
Basic Set,78.0,4.0
LEGO® City Truck,258.0,27.0
Town House,171.0,0.0
Helicopter and Limousine,228.0,31.0
Basic Building Set + Storage Case,1.0,0.0
Orange Fish,41.0,5.0
Classic Train,274.0,12.0
Cars and Planes,308.0,3.0
Train,225.0,28.0
Fantasy Bird,30.0,0.0
Fantasy Boat,27.0,0.0
Ricky Racoon on his Scooter,2.0,0.0
House with Garage,168.0,6.0
Scala Kitchen,13.0,0.0
Basic Building Set,109.0,0.0
Percy Pig's Wheelbarrow,4.0,0.0
Shell Service Station,87.0,14.0
Kanoka Launcher And Disc,1.0,1.0
Small Cottage,60.0,3.0
Basic Building Set,107.0,0.0
Moe Mouse's Roadster,23.0,0.0
Biplane,43.0,1.0
Takutanuva,0.0,0.0
Antique Car,105.0,6.0
Bernard Bear and Pickup Truck,27.0,0.0
"The Brick Apple (LEGO Store Grand Opening Set, Rockefeller Center, New York, NY)",133.0,0.0
Brickley,201.0,0.0
Holiday Set 2 of 2,122.0,3.0
Lego Brand Retail Store,243.0,36.0
"LEGO Store Grand Opening Exclusive Set, Copenhagen (KÃ¸benhavn), Denmark",62.0,3.0
"The Routemaster Bus (LEGO Store Grand Opening Set, Westfield, London, UK)",94.0,33.0
Holiday Set 2012,116.0,2.0
Holiday Set 1 of 2,104.0,0.0
Harold the Helicopter,6.0,0.0
Basic Building Set,156.0,2.0
Gas Station,200.0,11.0
Soccer Field,2.0,0.0
Jeep,63.0,2.0
Field Accessories,53.0,0.0
Dutch National Player,4.0,0.0
World Team Player,4.0,0.0
World Team Player - Limited Edition (England),4.0,0.0
World Team Player - Limited Edition (Netherlands),4.0,0.0
Soccer Goalies,8.0,0.0
Tribune,82.0,3.0
Head Tribune,89.0,7.0
Commentator and Press Box,87.0,11.0
Dump Truck,41.0,4.0
Camera Tower,89.0,11.0
Medic's Station,77.0,2.0
Light Poles,87.0,15.0
Stadium Security,125.0,19.0
Olivia’s House,737.0,28.0
"Advent Calender 2012, Friends",0.0,0.0
"Advent Calendar 2012, Friends (Day 9) - Breakfast",10.0,0.0
"Advent Calendar 2012, Friends (Day 10) - Sled Trailer #1",10.0,0.0
"Advent Calendar 2012, Friends (Day 11) - Present for Dog",8.0,0.0
"Advent Calendar 2012, Friends (Day 12) - Dog",1.0,0.0
"Advent Calendar 2012, Friends (Day 13) - Stool and Plate with Candies",6.0,4.0
"Advent Calendar 2012, Friends (Day 14) - Dog Basket with Bone",9.0,0.0
"Advent Calendar 2012, Friends (Day 15) - Sled Trailer #2",8.0,0.0
"Advent Calendar 2012, Friends (Day 16) - Basket with Broom and Snow Balls",10.0,0.0
"Advent Calendar 2012, Friends (Day 17) - Mailbox with Letter",10.0,0.0
"Advent Calendar 2012, Friends (Day 18) - Lime/White Present With Letter",8.0,0.0
"Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top",4.0,0.0
"Advent Calendar 2012, Friends (Day 19) - Handbag",1.0,0.0
"Advent Calendar 2012, Friends (Day 20) - Flower Arrangement",11.0,0.0
"Advent Calendar 2012, Friends (Day 21) - Fireplace",22.0,3.0
"Advent Calendar 2012, Friends (Day 22) - Christmas Tree",22.0,1.0
"Advent Calendar 2012, Friends (Day 23) - Medium Blue/White Present with Letter",12.0,0.0
"Advent Calendar 2012, Friends (Day 24) - Corner Table with Beauty Accessories",9.0,3.0
"Advent Calendar 2012, Friends (Day 2) - Sled",10.0,0.0
"Advent Calendar 2012, Friends (Day 3) - Street Light with Garland",12.0,2.0
"Advent Calendar 2012, Friends (Day 4) - Skis and Ski Poles",4.0,0.0
"Advent Calendar 2012, Friends (Day 5) - Snowman",9.0,0.0
"Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit",4.0,0.0
"Advent Calendar 2012, Friends (Day 7) - Friends Accessories",20.0,0.0
"Advent Calendar 2012, Friends (Day 8) - Table with Stool",9.0,0.0
German National Player,4.0,0.0
English Player,4.0,0.0
Austrian Player,4.0,0.0
Tow Truck,52.0,4.0
Kaufhof Promotional Set: German National Player and Ball,5.0,0.0
Kaufhof Promotional Set: World Team Player and Ball,5.0,0.0
Racing Car,16.0,1.0
Basic Set,98.0,2.0
Bird,14.0,0.0
Delivery Truck,64.0,4.0
Plane,17.0,1.0
Helicopter,16.0,1.0
Star Wars #1 - Sith Minifig Pack,27.0,3.0
Truck with Flatbed,68.0,4.0
Star Wars #2 - Luke/Han/Boba Minifig Pack,24.0,1.0
Star Wars #3 - Troopers/Chewie Minifig Pack,23.0,3.0
Star Wars #4 - Battle Droid Minifig Pack,32.0,4.0
One Minifig Pack - Ninja #1,12.0,0.0
Three Minifig Pack - Ninja #2,24.0,0.0
Three Minifig Pack - Ninja #3,26.0,0.0
One Minifig Pack - Rock Raiders #1,8.0,2.0
Three Minifig Pack - Rock Raiders #2,27.0,0.0
Three Minifig Pack - Rock Raiders #3,28.0,3.0
City #1,27.0,2.0
Basic Building Set,245.0,0.0
Three Minifig Pack - City #2,24.0,0.0
Transport Truck,95.0,4.0
Fire Engine,72.0,4.0
Moon Buggy,36.0,1.0
Satellite Launcher,142.0,29.0
Space Shuttle,209.0,27.0
Rocket Launch Center,473.0,34.0
Basic Building Set,223.0,2.0
Truck with Crane and Caterpillar Track,86.0,6.0
Johnny Thunder Chupa Chups Promotional,7.0,0.0
Ambulance,68.0,6.0
Lord Sam Sinister Chupa Chups Promotional,6.0,0.0
Blondi the Pig and Taxi Station,35.0,0.0
Jing Lee the Wanderer Chupa Chups Promotional,4.0,0.0
Chef,5.0,1.0
Train Worker Chupa Chups Promotional,4.0,0.0
Conductor Charlie,5.0,2.0
Xtreme Stunts Pepper Roni Chupa Chups Promotional,4.0,0.0
Xtreme Stunts Brickster Chupa Chups Promotional,4.0,0.0
Xtreme Stunts Snap Lockitt Chupa Chups Promotional,4.0,0.0
Skateboarder Bill Chupa Chups Promotional,7.0,0.0
Basketball Street Player Chupa Chups Promotional,5.0,0.0
"Dash, Mission Deep Sea, Chupa Chups Promotional",8.0,2.0
Basic Set,185.0,6.0
Basic Building Set,217.0,3.0
Shoot 'n' Score - without ZIDANE / Adidas Minifig,23.0,1.0
Shoot 'n' Score - with ZIDANE / Adidas Minifig,23.0,1.0
Fire Trucks,271.0,6.0
Grandstand with Lights,61.0,4.0
Railroad Control Tower,74.0,0.0
Fans' Grandstand with Scoreboard,80.0,0.0
Black Bus,113.0,19.0
Blue Bus,111.0,19.0
Americas Bus,111.0,19.0
Red Bus,111.0,19.0
Super Sports Coverage,221.0,5.0
Championship Challenge,295.0,0.0
Championship Challenge - Special Edition with Orange Players,0.0,0.0
Championship Challenge,297.0,0.0
Field Expander,53.0,0.0
Warehouse,123.0,0.0
Team Transport Bus,112.0,21.0
Cathy Cat's & Morty Mouse's Cottage,115.0,0.0
Point Shooting,25.0,0.0
Goal Keeper,30.0,0.0
Precision Shooting,23.0,0.0
Women's Team,67.0,1.0
Point Shooting,24.0,0.0
Precision Shooting,24.0,0.0
Championship Challenge II,387.0,0.0
Championship Challenge II - FC Bayern Promo Edition,387.0,0.0
Championship Challenge II - L'Equipe de France Promo Edition,387.0,0.0
Championship Challenge II - Sports Edition,387.0,0.0
Station,187.0,4.0
3 v 3 Shootout,226.0,0.0
Shoot 'N Save (non-promo),111.0,4.0
Shoot 'N Save (FC Bayern Promo Edition),111.0,4.0
Freekick Frenzy,55.0,0.0
Target Practice,37.0,0.0
Grand Championship Cup - U.S. Men's Team Cup Edition,568.0,0.0
Grand Championship Cup,568.0,0.0
Team Transport Bus Adidas Edition,112.0,21.0
NBA Slam Dunk,55.0,0.0
One vs One Action,40.0,1.0
Ultimate Defense,82.0,1.0
Spin & Shoot,69.0,1.0
Train Ferry,145.0,2.0
Streetball 2 vs 2,187.0,0.0
NBA Challenge,451.0,2.0
NBA Ultimate Arena,487.0,5.0
McDonald's Restaurant,88.0,5.0
Spy Runner,89.0,17.0
NBA Jam Session Co-Pack,70.0,1.0
Bungalow,77.0,0.0
Service Station,84.0,0.0
"Legoland California Truck, Limited Edition",100.0,6.0
2 x 4 Ridge Roof Tiles Steep Sloped Black,25.0,0.0
2 x 4 Ridge Roof Tiles Steep Sloped Red,25.0,0.0
2 x 2 Window White,25.0,0.0
1 x 3 x 4 Wall Element Transparent Blue (Train Window),0.0,25.0
1 x 4 x 5 Black Window Frames with Clear Panes,10.0,10.0
1 x 4 x 6 Black Door Frame with Transparent Blue Panes,10.0,0.0
Statue of Liberty,2903.0,0.0
House with Mini Wheel Car,131.0,1.0
Sopwith Camel,584.0,0.0
Small Bucket for Her,135.0,0.0
2 x 2 Black Bricks,100.0,0.0
2 x 2 Light Gray Bricks,100.0,0.0
2 x 2 White Bricks,100.0,0.0
2 x 2 Dark Green Bricks,100.0,0.0
2 x 2 Red Bricks,100.0,0.0
2 x 4 Black Bricks,50.0,0.0
2 x 4 Light Gray Bricks,50.0,0.0
2 x 4 White Bricks,50.0,0.0
Jumbo Jet,116.0,1.0
2 x 4 Dark Green Bricks,50.0,0.0
House with Car,166.0,1.0
2 x 4 Red Bricks,50.0,0.0
2 x 8 Black Bricks,25.0,0.0
2 x 8 Light Gray Bricks,25.0,0.0
2 x 8 White Bricks,25.0,0.0
2 x 8 Dark Green Bricks,25.0,0.0
2 x 8 Red Bricks,25.0,0.0
1 x 4 Black Bricks,50.0,0.0
1 x 4 Light Gray Bricks,50.0,0.0
1 x 4 White Bricks,50.0,0.0
Fire Station with Mini Cars,197.0,8.0
1 x 4 Dark Green Bricks,50.0,0.0
Basic Building Set,328.0,2.0
1 x 4 Red Bricks,50.0,0.0
Doc David's Hospital,100.0,0.0
1 x 6 Black Bricks,50.0,0.0
1 x 6 Light Gray Bricks,50.0,0.0
1 x 6 White Bricks,50.0,0.0
1 x 6 Dark Green Bricks,50.0,0.0
1 x 6 Red Bricks,50.0,0.0
1 x 8 Black Bricks,25.0,0.0
1 x 8 Light Grey Bricks,25.0,0.0
1 x 8 White Bricks,25.0,0.0
Garage with Automatic Doors,38.0,0.0
1 x 8 Dark Green Bricks,25.0,0.0
1 x 8 Red Bricks,25.0,0.0
2 x 4 Black Plates,100.0,0.0
2 x 4 White Plates,100.0,0.0
2 x 4 Red Plates,100.0,0.0
1 x 6 Black Plates,50.0,0.0
1 x 6 White Plates,50.0,0.0
1 x 6 Red Plates,50.0,0.0
2 x 8 Black Plates,25.0,0.0
2 x 8 White Plates,25.0,0.0
Swiss Chalet,81.0,0.0
2 x 8 Red Plates,25.0,0.0
2 x 2 Black Smooth Tiles,100.0,0.0
2 x 2 White Smooth Tiles,100.0,0.0
2 x 2 Red Smooth Tiles,100.0,0.0
2 x 2 Roof Tiles Steep Sloped Black,100.0,0.0
2 x 2 Roof Tiles Steep Sloped Red,100.0,0.0
2 x 4 Roof Tile Black,50.0,0.0
2 x 4 Roof Tile Red,50.0,0.0
Small Spruce Trees,25.0,0.0
Kobe Bryant,4.0,0.0
Spanish Villa,126.0,0.0
Jet-Car,26.0,0.0
Basic Building Set,307.0,8.0
Bi-Wing,24.0,0.0
Town Hall with Leonard Lion & Friends,134.0,0.0
Mini-Sonic,22.0,0.0
Hook-Truck,30.0,0.0
Aeroplane,23.0,0.0
Motorbike,26.0,0.0
1 x 4 x 3 Wall Element Clear,0.0,25.0
1 x 4 x 5 Black Window Frame with Blue Pane,10.0,10.0
Screws for Motor Case,2.0,0.0
Polybag,25.0,0.0
Loader Hopper with Truck,169.0,1.0
Forklift,39.0,0.0
Windmill and Lorry,141.0,1.0
Racer,35.0,0.0
Pau Gasol,4.0,0.0
Tony Parker,4.0,0.0
Terrace House with Car and Garage,152.0,1.0
Tri-Bike,29.0,0.0
Jet-Ski,27.0,0.0
Skateboard Street Park,67.0,1.0
Snowboard Big Air Comp,86.0,0.0
Skateboard Vert Park Challenge,93.0,0.0
Snowboard Boarder Cross Race,194.0,8.0
Puck Passer,47.0,0.0
Police Heliport,165.0,8.0
Slap Shot,47.0,0.0
Flip Shot,49.0,0.0
Slammer Goalie,47.0,0.0
Hockey Game Set,153.0,0.0
Hockey Puck Feeder,152.0,0.0
Slam Dunk Trainer,21.0,0.0
Slam Dunk Trainer (Kabaya Promotional),21.0,0.0
Practice Shooting,17.0,0.0
Practice Shooting (Kabaya Promotional),17.0,0.0
Jump and Shoot,19.0,0.0
Jump and Shoot (Kabaya Promotional),19.0,0.0
Town Center Set with Roadways,319.0,13.0
Dino-Jet,80.0,0.0
